complex_id,k,log10_N_hotspot,log10_N_control,sum_delta_hot,sum_delta_ctl,diff_log10,command
1A22_A_B,9,9.025776543884618,27.333318819844205,2.0782618522644043,6.293729245662688,-18.307542275959587,python3 src/nhot_control.py --out results/nhot_control
1A4Y_A_B,4,30.351430393416287,16.038780819681897,6.988675117492676,3.6930657625198364,14.31264957373439,python3 src/nhot_control.py --out results/nhot_control
1AHW_AB_C,2,0.4070299304525527,14.8843329006105,0.09372210502624512,3.4272443056106567,-14.477302970157949,python3 src/nhot_control.py --out results/nhot_control
1AK4_A_D,2,0.0,13.09030224203566,0.0,3.014153480529785,-13.09030224203566,python3 src/nhot_control.py --out results/nhot_control
1AO7_ABC_DE,6,24.6075840812727,18.073844789389515,5.666105628013611,4.161656558513641,6.533739291883187,python3 src/nhot_control.py --out results/nhot_control
1BD2_ABC_DE,4,15.223360392281803,8.34148511305394,3.505308270454407,1.9206979274749756,6.881875279227863,python3 src/nhot_control.py --out results/nhot_control
1BJ1_HL_VW,2,4.792800495476584,16.790663620116877,1.103583097457886,3.866193175315857,-11.997863124640293,python3 src/nhot_control.py --out results/nhot_control
1BP3_A_B,5,13.972260480129362,20.252385621415712,3.2172318696975704,4.663284122943878,-6.28012514128635,python3 src/nhot_control.py --out results/nhot_control
1BRS_A_D,5,16.21777219509919,0.15494874689973132,3.734280049800873,0.03567826747894287,16.06282344819946,python3 src/nhot_control.py --out results/nhot_control
1C1Y_A_B,2,1.9169403424827336,3.939878806909073,0.44139182567596436,0.9071906208992,-2.0229384644263395,python3 src/nhot_control.py --out results/nhot_control
1C4Z_ABC_D,6,0.858852422769704,19.845641730913115,0.19775807857513406,4.56962788105011,-18.98678930814341,python3 src/nhot_control.py --out results/nhot_control
1CBW_FGH_I,1,0.0,7.871111441539003,0.0,1.8123903870582585,-7.871111441539003,python3 src/nhot_control.py --out results/nhot_control
1CHO_EFG_I,2,0.0,9.053671781067509,0.0,2.08468496799469,-9.053671781067509,python3 src/nhot_control.py --out results/nhot_control
1DAN_HL_UT,7,5.40420454644401,18.861218028972672,1.2443640828132627,4.342955946922302,-13.457013482528662,python3 src/nhot_control.py --out results/nhot_control
1DQJ_AB_C,5,20.505816758216515,27.907165695952656,4.721638798713684,6.42586237192154,-7.401348937736142,python3 src/nhot_control.py --out results/nhot_control
1DVF_AB_CD,10,61.47795035786802,39.69878003825221,14.155821204185488,9.140981912612915,21.779170319615808,python3 src/nhot_control.py --out results/nhot_control
1E50_A_B,4,7.764440025559347,12.586264645297328,1.7878283858299262,2.8980945348739624,-4.821824619737981,python3 src/nhot_control.py --out results/nhot_control
1EMV_A_B,4,19.467200911024317,23.565966108904387,4.482488662004471,5.426264226436615,-4.09876519788007,python3 src/nhot_control.py --out results/nhot_control
