complex_id,d_of3,d_af2,leverage_metric,metric_name,retention_af2,Lrms_of3,Lrms_af2,Lrms_crystal,d_crystal,seed
1A22_A_B,0.1815926844444444,0.4746995333333333,1.0772326911423717,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",1.140398017774978,1.0328482615623753,1.0934110335056606,0.958797732425918,0.5224381422222222,20260803
1A4Y_A_B,-0.5220020999999999,-0.4648788,1.0952761015708092,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",0.9370460459963845,0.7891887109304471,0.6751778479068279,0.7205386019092523,-0.4064052999999999,20260803
1AHW_AB_C,-0.4656463999999999,0.1620717999999997,0.33896887952911314,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",0.4851375642689875,0.3086464544720285,0.4417396350686477,0.9105451063849643,1.984198335,20260803
1AK4_A_D,2.120414003,1.73946372,1.0027939100090622,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",0.9949301588016455,1.1601113930634666,1.1510139830404458,1.1568791767522628,1.594848525,20260803
1AO7_ABC_DE,-0.4942616499999999,0.0655985666666667,1.028015920828159,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",1.0118005852576055,1.1178729786751582,1.1002402892321104,1.087408235637646,-0.485782905,20260803
1BD2_ABC_DE,-1.8315333615,-0.870764045,0.7311223317000881,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",0.8853385540737597,0.7430553691889773,0.8997886367727175,1.0163215333077587,-1.30633223125,20260803
1BJ1_HL_VW,0.45383075,-1.2537855,0.13758899460534485,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",0.6535350847092838,0.151898924834138,0.7215059387087867,1.1040049043881688,0.8595945999999999,20260803
1BP3_A_B,0.1901581748,-0.2511667379999999,1.3403700867749606,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",1.3636582475468464,0.935395204442886,0.9516471591240966,0.6978633839058009,0.011397556,20260803
1BRS_A_D,-1.1671471992,-1.0490048112,1.0100242366556336,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",1.0634232233109715,1.3461381220174233,1.4173071187653286,1.3327780395396467,-1.2085925539999998,20260803
1C1Y_A_B,0.0975818499999998,0.089715125,0.9597524435624587,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",0.9242149105417188,0.8915741288047031,0.8585610896034409,0.9289626036223593,0.34889295,20260803
1C4Z_ABC_D,0.949850959,0.8589316650000001,1.032435800747707,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",0.8618157663024497,1.0007111641749442,0.8353339337673693,0.969272049119386,1.22338031,20260803
1CBW_FGH_I,1.8964614,1.978882,0.9930273579175856,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",1.0229576728563272,0.8316745208157083,0.8567415848155775,0.8375142076244102,0.9806461999999998,20260803
1CHO_EFG_I,1.0347673899999998,0.2107122750000001,1.1927118452180825,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",1.1783954774331875,1.3921176561207904,1.3754077790077421,1.1671869124987582,1.7196383750000002,20260803
1DAN_HL_UT,0.75657162,0.9320729242857144,1.0387674530432662,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",1.0278478188627989,0.9850283901813058,0.9746736667572685,0.9482665126785387,0.7954480478571428,20260803
1DQJ_AB_C,-0.550154886,-1.2235173419999998,0.7693487002574882,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",0.709029644090237,0.75619902287424,0.6969109376157534,0.9829080397759205,0.0125212680000001,20260803
1DVF_AB_CD,-0.0397976020000001,0.4263774980000001,0.9553311776354738,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",0.7096189305370811,0.7696684301894365,0.5717088493343246,0.8056561412498141,-0.3999332593999999,20260803
1E50_A_B,-0.5301362525000002,-0.513156275,0.9044108821056793,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",0.9412344988134831,1.0329882529023464,1.075046972275534,1.142166987749317,-0.168139025,20260803
1EMV_A_B,0.3254141425,0.1602695125,1.0071181867211856,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",1.023739742590833,1.2934723858908508,1.3148199534468747,1.2843302831239016,-0.010371615,20260803
1FC2_C_D,-3.1852825,1.51307495,0.5593773228402164,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",1.1248272175426257,0.6177680602146803,1.2422425791766931,1.104385242286883,0.1000942999999998,20260803
1FCC_A_C,0.6398229,-0.7483287000000001,1.3148697316620588,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",0.37172011869922056,1.1502190411007693,0.32517256135147754,0.8747779444636214,-0.3575347,20260803
1GC1_G_C,0.4919754099999999,0.3339615133333334,1.0362771773579897,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",0.8251974147119532,0.9841914685192379,0.7837210672478909,0.9497376667393703,0.9001398133333334,20260803
1GCQ_AB_C,0.0675187,0.0871118299999999,0.7801309471569287,"leverage_retention_of3 = mean|L|rms(OF3)/mean|L|rms(crystal), position-matched",0.8754362146292841,0.9461005536045631,1.0616816193802918,1.212745830751217,0.0531475699999999,20260803
