complex_id,nh,auc_burial,p_burial,auc_KL,p_KL,auc_burial_KL,p_burial_KL,auc_xc,p_xc
1A22_A_B,6,0.7469135802469136,0.3333333333333333,0.654320987654321,0.3333333333333333,0.7283950617283951,0.5,0.6635802469135802,0.16666666666666666
1A4Y_A_B,3,0.6023391812865497,0.0,0.9005847953216374,0.0,0.8362573099415205,0.0,0.6403508771929824,0.3333333333333333
1AHW_AB_C,1,0.7906976744186046,0.0,0.8604651162790697,0.0,0.8604651162790697,0.0,0.5348837209302325,0.0
1AK4_A_D,2,0.75,0.5,0.4375,0.0,0.6458333333333334,0.5,0.9583333333333334,0.5
1AO7_ABC_DE,6,0.3918918918918919,0.0,0.5720720720720721,0.0,0.47297297297297297,0.0,0.38288288288288286,0.0
1BD2_ABC_DE,3,0.5952380952380952,0.0,0.7222222222222222,0.3333333333333333,0.6746031746031746,0.3333333333333333,0.6587301587301587,0.0
1BJ1_HL_VW,1,0.9285714285714286,0.0,0.6857142857142857,0.0,0.8571428571428571,0.0,0.6571428571428571,0.0
1BP3_A_B,2,0.7288135593220338,0.0,0.5084745762711864,0.0,0.6016949152542372,0.0,0.461864406779661,0.0
1BRS_A_D,6,0.6136363636363636,0.3333333333333333,0.8484848484848485,0.5,0.803030303030303,0.3333333333333333,0.8295454545454546,0.6666666666666666
1C1Y_A_B,1,0.6923076923076923,0.0,0.46153846153846156,0.0,0.5769230769230769,0.0,0.9423076923076923,0.0
1C4Z_ABC_D,1,0.7142857142857143,0.0,0.9428571428571428,0.0,0.9142857142857143,0.0,1.0,1.0
1CHO_EFG_I,5,0.4482758620689655,0.0,0.8827586206896552,0.4,0.7034482758620689,0.2,0.9655172413793104,0.8
1DAN_HL_UT,1,0.7375,0.0,0.8625,0.0,0.9125,0.0,0.85,0.0
1DQJ_AB_C,10,0.8064516129032258,0.5,0.5225806451612903,0.2,0.7516129032258064,0.4,0.5145161290322581,0.1
1DVF_AB_CD,7,0.6497695852534562,0.2857142857142857,0.8847926267281107,0.7142857142857143,0.9216589861751152,0.7142857142857143,0.8248847926267281,0.7142857142857143
1E50_A_B,1,0.9795918367346939,0.0,0.7551020408163265,0.0,0.9183673469387755,0.0,0.47959183673469385,0.0
1EMV_A_B,9,0.7078189300411523,0.5555555555555556,0.6625514403292181,0.4444444444444444,0.7366255144032922,0.4444444444444444,0.676954732510288,0.4444444444444444
1F47_A_B,3,0.7301587301587301,0.0,0.8253968253968254,0.3333333333333333,0.8412698412698413,0.3333333333333333,0.8333333333333334,0.3333333333333333
1FC2_C_D,1,1.0,1.0,0.6956521739130435,0.0,0.8260869565217391,0.0,0.34782608695652173,0.0
1FCC_A_C,4,0.8522727272727273,0.5,0.8977272727272727,0.5,0.9090909090909091,0.5,0.7556818181818182,0.0
1FFW_A_B,1,0.7083333333333334,0.0,1.0,1.0,0.9166666666666666,0.0,1.0,1.0
1H9D_A_B,1,0.7021276595744681,0.0,0.8936170212765957,0.0,0.9148936170212766,0.0,0.7978723404255319,0.0
1IAR_A_B,1,0.5625,0.0,0.65625,0.0,0.6875,0.0,0.890625,0.0
1JCK_A_B,4,0.75,0.0,0.84,0.5,0.85,0.5,0.58,0.25
1JRH_LH_I,9,0.8647342995169082,0.6666666666666666,0.5893719806763285,0.3333333333333333,0.8019323671497585,0.4444444444444444,0.5772946859903382,0.4444444444444444
1JTD_A_B,13,0.7001972386587771,0.46153846153846156,0.7080867850098619,0.38461538461538464,0.7751479289940828,0.46153846153846156,0.4911242603550296,0.15384615384615385
1JTG_A_B,10,0.6772727272727272,0.3,0.7477272727272727,0.2,0.7659090909090909,0.4,0.5068181818181818,0.2
